"""","年度末現在適用状況_事業所数","年度末現在適用状況_被保険者 数(人)","雇用勘定保険料_収納済額(百万円)","失業給付金_支給総額(百万円)","失業給付金_一般求職者給付支　給総額(百万円)","失業給付金_一般求職者給付支給_一般受給資格決定件 数(件)","失業給付金_一般求職者給付支給_基本手当、延長給付_実人員(人)","失業給付金_一般求職者給付支給__支給金額(百万円)","失業給付金_一般求職者給付支給_基本手当、延長給付_基本手当_実人員(人)","失業給付金_一般求職者給付支給_基本手当、延長給付_基本手当_支給金額(百万円)","失業給付金_一般求職者給付支給_基本手当、延長給付_延長給付支給総額(百万円)","失業給付金_一般求職者給付支給_基本手当、延長給付_延長給付支給_個別延長(百万円)","失業給付金_一般求職者給付支給_基本手当、延長給付_延長給付支給_訓練延長(百万円)","失業給付金_一般求職者給付支給_技能習得手 当(百万円)","失業給付金_一般求職者給付支給_寄宿手当(百万円)","失業給付金_一般求職者給付支給_傷病手当(百万円)","失業給付金_高年齢求職者給付金_受給者数(人)","失業給付金_高年齢求職者給付金_支給金額(百万円)","失業給付金_特例一時金_受給者数(人)","失業給付金_特例一時金_支給金額(百万円)","失業給付金_日雇求職者給付_受給者実人員(人)","失業給付金_日雇求職者給付_支給金額(百万円)","失業給付金_就職促進給付_支給総額(百万円)","失業給付金_就職促進給付_常用就職支度手当(百万円)","失業給付金_就職促進給付_再就職手 当(百万円)","失業給付金_就職促進給付_就 業手 当(百万円)","失業給付金_就職促進給付_移転費(百万円)","失業給付金_就職促進給付_広域求職活動費(百万円)"
"平成17年度(2005年度)","16326.0","195953.0","11707.0","8413.0","7817.6","16556.0","5445.0","7725.0","5367.0","7533.0","191.9","0.0","191.9","70.1","0.0","22.3","719.0","153.8","185.0","39.9","37.0","28.6","372.9","1.6","346.6","24.483","0.0","0.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"平成18年度(2006年度)","16321.0","199849.0","13272.0","8617.1","7855.2","16915.0","5445.0","7795.6","5374.0","7622.3","173.2","0.0","173.2","41.0","0.0","18.4","764.0","160.5","171.0","34.1","37.0","27.5","539.7","4.9","500.0","34.291","0.0","0.0"
"平成19年度(2007年度)","16387.0","204946.0","15187.0","7629.0","6935.0","15009.0","4938.0","6872.0","4872.0","6719.0","153.0","0.0","153.0","35.0","0.0","28.0","811.0","170.0","158.0","31.0","47.0","28.0","465.0","3.0","435.0","26.0","0.0","0.0"
"平成20年度(2008年度)","16337.0","209326.0","10622.0","7279.0","6617.0","15073.0","4720.0","6560.0","4651.0","6399.0","161.0","0.0","161.0","31.0","0.0","28.0","852.0","177.0","139.0","24.0","31.0","26.0","434.0","2.0","409.0","23.0","0.0","0.0"
"平成21年度(2009年度)","16311.0","211710.0","7683.0","9183.0","8261.0","14736.0","5699.0","8183.0","5219.0","7261.0","922.0","709.0","213.0","47.0","0.0","31.0","999.0","204.0","129.0","21.0","42.0","35.0","662.0","10.0","636.0","16.0","0.0","0.0"
"平成22年度(2010年度)","16447.0","215802.0","10367.0","8159.0","7142.0","13955.0","5059.0","7076.0","4604.0","6236.0","840.0","604.0","236.0","43.0","0.0","24.0","977.0","198.0","133.0","23.0","64.0","58.0","739.0","9.0","718.0","12.0","0.0","0.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"平成23年度(2011年度)","16499.0","220058.0","10801.0","7893.0","6756.0","14001.0","4882.0","6686.0","4468.0","5943.0","743.0","537.0","206.0","40.0","0.0","31.0","1001.0","201.0","147.0","23.0","81.0","74.0","839.0","7.0","818.0","13.0","0.0","0.0"
"平成24年度(2012年度)","16597.0","225137.0","9655.0","7669.0","6499.0","13874.0","4729.0","6454.0","4386.0","5821.0","634.0","447.0","187.0","17.0","0.0","27.0","1161.0","235.0","118.0","21.0","83.0","72.0","843.0","7.0","829.0","7.0","0.0","0.0"
"平成25年度(2013年度)","16656.0","226880.0","9466.0","7133.0","5916.0","12903.0","4391.0","5882.0","4189.0","5501.0","381.0","229.0","152.0","12.0","0.0","22.0","1379.0","276.0","133.0","21.0","54.0","41.0","879.0","10.0","859.0","10.0","0.0","0.0"
"平成26年度(2014年度)","16750.0","228069.0","9691.0","6526.0","5228.0","12321.0","3922.0","5192.0","3771.0","4900.0","291.0","140.0","151.0","12.0","-","23.0","1579.0","326.0","98.0","16.0","38.0","25.0","976.0","6.0","873.0","6.0","-","0.0"
